Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,CityVenue,CountryVenue,VenueNeutrality,HomeTeamLabel,AwayTeamLabel
1996-06-08,England,Switzerland,1.0,1.0,1,49,4,0,8,33
1992-06-26,Denmark,Germany,2.0,0.0,2,34,16,1,7,12
1992-06-22,Netherlands,Denmark,2.0,2.0,1,34,16,1,17,7
1992-06-21,Sweden,Germany,2.0,3.0,0,75,16,0,30,12
1992-06-18,Netherlands,Germany,3.0,1.0,2,34,16,1,17,12
1992-06-18,Scotland,Russia,3.0,0.0,2,62,16,1,25,26
1992-06-17,Sweden,England,2.0,1.0,2,75,16,0,30,8
1992-06-17,France,Denmark,1.0,2.0,0,53,16,1,10,7
1992-06-15,Netherlands,Russia,0.0,0.0,1,34,16,1,17,26
1992-06-15,Scotland,Germany,0.0,2.0,0,62,16,1,25,12
1992-06-14,France,England,0.0,0.0,1,53,16,1,10,8
1992-06-14,Sweden,Denmark,1.0,0.0,2,75,16,0,30,7
1992-06-12,Netherlands,Scotland,1.0,0.0,2,34,16,1,17,27
1992-06-12,Russia,Germany,1.0,1.0,1,62,16,1,24,12
1992-06-11,Denmark,England,0.0,0.0,1,53,16,1,7,8
1992-06-10,Sweden,France,1.0,1.0,1,75,16,0,30,10
1988-06-25,Russia,Netherlands,0.0,2.0,0,57,6,1,24,18
1988-06-22,Russia,Italy,2.0,0.0,2,77,6,1,24,16
1988-06-21,Germany,Netherlands,1.0,2.0,0,36,6,0,11,18
1988-06-18,England,Russia,1.0,3.0,0,29,6,1,8,26
1988-06-18,Republic of Ireland,Netherlands,0.0,1.0,0,31,6,1,22,18
1988-06-17,Germany,Spain,2.0,0.0,2,57,6,0,11,31
1988-06-17,Italy,Denmark,2.0,0.0,2,20,6,1,15,7
1988-06-15,England,Netherlands,1.0,3.0,0,24,6,1,8,18
1988-06-15,Republic of Ireland,Russia,1.0,1.0,1,37,6,1,22,26
1988-06-14,Italy,Spain,1.0,0.0,2,29,6,1,15,31
1988-06-14,Germany,Denmark,2.0,0.0,2,31,6,0,11,7
1988-06-12,England,Republic of Ireland,0.0,1.0,0,77,6,1,8,24
1988-06-12,Netherlands,Russia,0.0,1.0,0,20,6,1,17,26
1988-06-11,Denmark,Spain,2.0,3.0,0,37,6,1,7,31
1988-06-10,Germany,Italy,1.0,1.0,1,24,6,0,11,16
1984-06-27,France,Spain,2.0,0.0,2,64,5,0,10,31
1984-06-24,Denmark,Spain,1.0,1.0,1,51,5,1,7,31
1984-06-23,France,Portugal,3.0,2.0,2,55,5,0,10,23
1984-06-20,Germany,Spain,0.0,1.0,0,64,5,1,11,31
1984-06-20,Portugal,Romania,1.0,0.0,2,58,5,1,21,25
1984-06-19,Denmark,Belgium,3.0,2.0,2,76,5,1,7,2
1984-06-19,France,Yugoslavia,3.0,2.0,2,71,5,0,10,37
1984-06-17,Germany,Romania,2.0,1.0,2,45,5,1,11,25
1984-06-17,Portugal,Spain,1.0,1.0,1,55,5,1,21,31
1984-06-16,Denmark,Yugoslavia,5.0,0.0,2,51,5,1,7,37
1984-06-16,France,Belgium,5.0,0.0,2,58,5,0,10,2
1984-06-14,Romania,Spain,1.0,1.0,1,71,5,1,23,31
1984-06-14,Germany,Portugal,0.0,0.0,1,76,5,1,11,23
1984-06-13,Belgium,Yugoslavia,2.0,0.0,2,45,5,1,2,37
1984-06-12,France,Denmark,1.0,0.0,2,64,5,0,10,7
1980-06-22,Belgium,Germany,1.0,2.0,0,67,8,1,2,12
1980-06-21,Italy,Czechoslovakia,1.0,1.0,1,59,8,0,15,6
1980-06-18,Spain,England,1.0,2.0,0,59,8,1,29,8
1980-06-18,Italy,Belgium,0.0,0.0,1,67,8,0,15,2
1980-06-17,Greece,Germany,0.0,0.0,1,79,8,1,12,12
1980-06-17,Netherlands,Czechoslovakia,1.0,1.0,1,56,8,1,17,6
1980-06-15,Italy,England,1.0,0.0,2,79,8,0,15,8
1980-06-15,Belgium,Spain,2.0,1.0,2,56,8,1,2,31
1980-06-14,Germany,Netherlands,3.0,2.0,2,59,8,1,11,18
1980-06-14,Greece,Czechoslovakia,1.0,3.0,0,67,8,1,12,6
1980-06-12,Belgium,England,1.0,1.0,1,79,8,1,2,8
1980-06-12,Italy,Spain,0.0,0.0,1,56,8,0,15,31
1980-06-11,Netherlands,Greece,1.0,0.0,2,59,8,1,17,13
